Player Name,Squad,Match Date,Format
V Kohli,India,29-06-2024,T20
S Tudorache,India,29-06-2024,T20
K Mendon,India,29-06-2024,T20
CL Green,India,29-06-2024,T20
RR Pawson,India,29-06-2024,T20
MG Neser,India,29-06-2024,T20
DB Loic,India,29-06-2024,T20
Z Pongolo,India,29-06-2024,T20
M Shezi,India,29-06-2024,T20
N Sitompul,India,29-06-2024,T20
R Musamali,India,29-06-2024,T20
Amogh Desai,SA,29-06-2024,T20
Z Groenewald,SA,29-06-2024,T20
S Kanankege,SA,29-06-2024,T20
M Gouws,SA,29-06-2024,T20
Shawaiz Irfan,SA,29-06-2024,T20
SE Aquilina,SA,29-06-2024,T20
GO Sopinho,SA,29-06-2024,T20
MD Taylor,SA,29-06-2024,T20
NKDP Putri,SA,29-06-2024,T20
A Nagwaswalla,SA,29-06-2024,T20
Mohammad Amin,SA,29-06-2024,T20
