Player Name,Squad,Match Date,Format
V Kohli,India,29-06-2024,T20
RG Sharma,India,29-06-2024,T20
JJ Bumrah,India,29-06-2024,T20
R Ashwin,India,29-06-2024,T20
RR Jadeja,India,29-06-2024,T20
MS Dhoni,India,29-06-2024,T20
KL Rahul,India,29-06-2024,T20
SS Iyer,India,29-06-2024,T20
Mohammed Shami,India,29-06-2024,T20
N Sitompul,India,29-06-2024,T20
R Musamali,India,29-06-2024,T20
AB de Villiers,SA,29-06-2024,T20
Q de Kock,SA,29-06-2024,T20
F du Plessis,SA,29-06-2024,T20
KA Maharaj,SA,29-06-2024,T20
Shawaiz Irfan,SA,29-06-2024,T20
SE Aquilina,SA,29-06-2024,T20
GO Sopinho,SA,29-06-2024,T20
MD Taylor,SA,29-06-2024,T20
NKDP Putri,SA,29-06-2024,T20
A Nagwaswalla,SA,29-06-2024,T20
Mohammad Amin,SA,29-06-2024,T20
