,name,identifier,role
0,AAA Amsterdam,b4a23876,Batsman
1,AA Adeoye,482762af,Batsman
2,AA Alleyne,4b0e3049,Batsman
3,AAA Patel,fd3c5c00,Batsman
4,AAA White,bc005f0d,Batsman
5,AA Baig,5c67c7a6,Batsman
6,AA Bamal,6a58e069,Batsman
7,AA Banner,02d11602,Batsman
8,AA Barot,b690f34a,Batsman
9,AA Bevilaqua,c7a9ffbf,Batsman
10,AA Bilakhia,bff458c6,Batsman
11,AA Chakraborty,44e58b5b,Batsman
12,AA Chavan,29d72eb2,Batsman
13,AA Choudhury,b2c38dce,Batsman
14,A Adams,d37fd2c3,Fast bowler
15,A Adekunle,1b0ce76e,Batsman
16,AA Deshpande,cfa56623,Batsman
17,A Adey,dd2ed408,Batsman
18,Aaditya Varadarajan,e6ec6b42,Batsman
19,AA Donald,4c931d56,Bowler
20,Aaftab Alam Khan,9dbc77b3,Batsman
21,AA Gajic,a768a762,Batsman
22,AA Gordon,fa0d3636,Fast bowler
23,AAhan Achar,797f52cc,Batsman
24,AA Herwadkar,4ed49d3d,Batsman
25,A Ahmadhel,55a5cffb,Batsman
26,AA Hussein,60ef3ddb,Batsman
27,A Aikenhead,007f121f,Batsman
28,AAIP Bastari,81782f5b,Batsman
29,A Aitken,25c73eb6,Batsman
30,AA Jangoo,88626ed2,Batsman
31,AA Jasani,1fb04d31,Batsman
32,AA Jhunjhunwala,2815fe50,Batsman
33,AA Kargave,d912dd58,Batsman
34,Aakarshit Gomel,02f4b99c,Batsman
35,Aakash Chand,279c51f0,Batsman
36,Aakash Verma,24f5e41a,All-rounder
37,AA Kazi,16605a1b,Batsman
38,A Akhigbe,ed0ec1fe,Fast bowler
39,AA Kulkarni,2d140b79,Batsman
40,A Akurut,b93b7337,Batsman
41,A Alexander,ef6d6883,Batsman
42,A Alfonso,5088c217,Batsman
43,A Amado,14ea3348,Batsman
44,AA Mailey,8fa8c6e2,Spin bowler
45,AA Mallett,edb3df84,Spin bowler
46,AAM Eliane,ecc4562b,Batsman
47,Aamer Azmat,935678ee,Batsman
48,Aamer Ikram,161641cd,Batsman
49,Aamer Jamal,a8e54ef4,All-rounder
50,Aamer Malik,97ef55d6,Bowler
51,Aamer Nazir,7f8a923e,Fast bowler
52,Aamer Sohail,f49079b8,Batsman
53,Aamer Yamin,907d6e58,Fast bowler
54,Aamir Aziz,f49989eb,Batsman
55,Aamir Gani,2c3afa34,Spin bowler
56,Aamir Javed,66f9ecc2,Batsman
57,Aamir Kaleem,7ecb9a14,Spin bowler
58,Aamir Lal,2472ad2c,Spin bowler
59,AA Moiane,80190078,Batsman
60,AA Mulla,82c528b2,Batsman
61,Aanand Pandey,528a37ce,Batsman
62,AA Navicha,5c805a60,Batsman
63,A Andrew,38a36999,Batsman
64,A Andrews,1d45c01a,Spin bowler
65,A Andriani,e697d88c,Batsman
66,AA Noffke,b69e69ed,Bowler
67,Aanshul Gupta,71ee052e,Batsman
68,AA Obanda,7081491e,Batsman
69,AA Onikoyi,409ce380,Batsman
70,AA Paradkar,96f5b685,Batsman
71,AA Patil,7c1ba524,Batsman
72,AAP Atkinson,70d57519,Batsman
73,AA Premji,62479b4b,Batsman
74,AAP Rivero,1911dcbc,Batsman
75,Aaqib Javed,a95a9620,Fast bowler
76,Aaqib Khan,d290c5b5,Fast bowler
77,AA Rahayu,2327fdc7,Batting
78,A Aravinddaraj,21d38d47,Batsman
79,A Argyropoulou,3f1bfd19,Batsman
80,Aarif Sheikh,cd4d7695,Batsman
81,Aarnav Patel,b66201dd,Batsman
82,Aaron Beard,eab74985,Fast bowler
83,Aaron Campbell,de8341fd,Batsman
84,Aaron Jones,17aa4f1d,Batsman
85,A Arroz,67b99b43,Batsman
86,Aarti Priya,ec11ad0b,Batsman
87,Aarya Desai,8053c798,Batsman
88,AA Sanguelkar,88be2a27,Batsman
89,AA Sanklecha,90a5e58a,Fast bowler
90,AA Sarwate,8996a9a0,Spin bowler
91,AA Shafique,ef7a904e,Batsman
92,A Ashish Reddy,1c2a64cd,All-rounder
93,A Ashok,321be7e3,Batsman
94,A Ashokan,9244df4b,Batsman
95,Aasif Iqbal,42c41e1a,Batsman
96,Aasif Sheikh,dcbea954,Batsman
97,A Askari,72448ed4,Batsman
98,AAS Silva,94aa1697,Batsman
99,A Athanaze,58c2fac4,Batsman
100,A Austin,7f92e0e7,Batsman
101,A Awasthi,fa62a463,Batsman
102,Aayan Afzal Khan,d2d15439,Batsman
103,A Ayre,a09eb585,Batsman
104,A Bacher,1cca37c8,Batsman
105,A Badoni,872b03f7,Batsman
106,A Bagai,112959b2,Batsman
107,AB Agarkar,fa463154,Bowler
108,A Balbirnie,6ef13460,Batsman
109,A Barnes,f9607922,Batsman
110,A Barty,4f62e07f,Batsman
111,AB Barath,d3a3e82d,Batsman
112,Abbas Afridi,2cec2a92,Fast bowler
113,Abbas Ali Baig,41ce15da,Batsman
114,Abbas Ghani,a8f91f78,Batsman
115,Abbas Saad,c3e77f52,Batsman
116,AB Bhadoriya,1760e2c7,Batsman
117,ABB Sangma,57c81c1f,Batsman
118,AB Chawla,5f272b72,Batsman
119,Abdalah Lubega,dfdd7b97,Batsman
120,AB de Villiers,c4487b84,Batsman
121,AB Dinda,66b30f71,Bowler
122,Abdul Bangalzai,0251a22f,Batsman
123,Abdul Bashir,b6af1647,Batsman
124,Abdul Basith,cc777ffa,Batsman
125,Abdul Ela Al Quraishi,8548e6ce,Batsman
126,Abdul Halim,705a05c8,Batsman
127,Abdul Haq,10d94c90,All-rounder
128,Abdul Hashim,73b1db79,Batsman
129,Abdul Jabar,dc9d2e3c,Batsman
130,Abdul Jabbar,3f4b9ae5,Batsman
131,Abdul Jalali,2c29b16e,Batsman
132,Abdul Kadir,8f21593d,Spin bowler
133,Abdulla Bhoola,6ef9a32f,Batsman
134,Abdullah Akbarjan,5de198db,Spin bowler
135,Abdullah Akhunzada,3731735d,Batsman
136,Abdullah Al Mamun,26ccdb37,Batsman
